X,Y
-0.5251232097045803,-0.4721703583556314
-0.6146894840380184,-0.5304630899340355
-0.6151018754361303,-0.5386117117500635
-0.5958480939218966,-0.5969606456566123
-0.6287551215021564,-0.6282797493571445
-0.6296767645063616,-0.5958995871929623
-0.6559545328774289,-0.6024241310470845
-0.6737056105434356,-0.629862242827175
-0.6687367829494346,-0.6458698493951021
-0.6106099897075491,-0.6512277638216626
-0.6592746113742002,-0.6541080738193248
-0.6043046701170361,-0.6589657239301377
-0.6117392727846367,-0.6917387471242378
-0.6109866726824992,-0.6856178956409962
-0.6338148580910431,-0.7116303178341566
-0.584629868099584,-0.6893672290282078
-0.49793304837988567,-0.6368595703698615
-0.42289153899791826,-0.5247847725845035
-0.5389918305572041,-0.6120116752797258
-0.5493479383095523,-0.5937755751846042
-0.6314739619926502,-0.6527221577389276
-0.7287261538931059,-0.7285548705730245
-0.737685330303766,-0.745872438885498
-0.7716485327179857,-0.8457849440451417
-0.8028711435591113,-0.9600809616920145
-0.8250588282121885,-1.0
-0.8743831502191087,-1.0
-0.8990749666781337,-1.0
-0.9197442921215109,-1.0
-0.8828390244861278,-1.0
-0.9545634551011616,-0.8250985508775817
-0.8706211481769458,-0.7425446507481009
-0.8247638068730917,-0.7224743577412744
-0.8115191294311216,-0.5876129973947556
-0.8395447672601891,-0.4625835296345029
-0.8566325856692394,-0.44463714750188366
-0.8484291491797005,-0.44953076600037134
-0.8834291048711006,-0.49687067161869664
-0.9083153672797265,-0.5004594021077982
-0.9450048082620996,-0.5184164569514501
-0.9859394336597826,-0.5096422312157269
-0.9932977680571444,-0.5040890575223022
-1.0,-0.49401045791984044
-1.0,-0.46105364299878043
-1.0,-0.4285907600993653
-1.0,-0.40974014993275315
-1.0,-0.42147091483724625
-1.0,-0.44970698312770013
-1.0,-0.510542064087641
-1.0,-0.5581338096813919
-1.0,-0.5955131116019095
-1.0,-0.6158699604249327
-1.0,-0.6211418159501557
-1.0,-0.6146608734380876
-1.0,-0.6421804012528729
-1.0,-0.6510376907909536
-1.0,-0.6311270731673687
-1.0,-0.6194128898146606
-1.0,-0.6164539364364903
-1.0,-0.6283332932357364
-1.0,-0.6182134965179994
-1.0,-0.6428860607664129
-1.0,-0.6648829427074879
-1.0,-0.6814637717889946
-1.0,-0.6953326207648319
-1.0,-0.7133901587760537
-1.0,-0.7628797190956735
-1.0,-0.7698765737529017
-1.0,-0.8349789393261318
-1.0,-0.8806261120803234
-1.0,-0.7689513636858589
-1.0,-0.8240194042424954
-1.0,-0.8766843750315643
-1.0,-0.9038663303261409
-1.0,-1.0
-1.0,-0.9885422235951575
-1.0,-0.9572421993724296
-1.0,-0.9151397659192586
-1.0,-0.9115355079654178
-1.0,-0.9699766768427096
-1.0,-0.9428671249820548
-1.0,-0.8594519024759718
-1.0,-0.8589925467073528
-1.0,-1.0
-1.0,-0.9923604253560832
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9620067544872238
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9283720897871222
-1.0,-0.994117343063178
-1.0,-0.9774904923698913
-1.0,-0.975963535536724
-1.0,-0.9839781061813013
-1.0,-0.9726639472878735
-1.0,-0.923420861829637
-1.0,-0.8620302467797869
-1.0,-0.7912880404197962
-1.0,-0.8011992127025015
-1.0,-0.7707596709186463
-1.0,-0.7660998380230489
-1.0,-0.726512049497713
-1.0,-0.7159767394148706
-1.0,-0.7896696806784059
-1.0,-0.8550255192720193
-1.0,-0.8655613501691413
-1.0,-0.9107694164286939
-1.0,-0.9449024650787662
-1.0,-0.9663363010703606
-1.0,-0.9355172327924213
-1.0,-0.9691158516729368
-1.0,-0.9441311659498209
-1.0,-0.8830732168414814
-1.0,-0.8733118008244133
-1.0,-0.8653019803649344
-1.0,-0.8298459877067466
-1.0,-0.8221780139027057
-1.0,-0.8792710281935374
-1.0,-0.9430764035039201
-1.0,-0.9665053860167327
-1.0,-0.9455187320553655
-1.0,-0.9783444879904069
-1.0,-0.8747806574931671
-1.0,-0.8216383188787446
